Tracking Number,Sent,Origin city (original),Origin city (used),Origin country,Origin Lat,Origin Long,Received,Destination city (original),Destination (used),Destination country,Destination Lat,Destination Long
655674672706,27/07/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,30/07/2016,ALEXANDRIA,ALEXANDRIA,EG,-33.91667,151.2
655674662955,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/05/2016,TABY,TABY,SE,59.4439,18.06872
655674663160,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,12/05/2016,NSW,CANBERRA,AU,-35.28346,149.12807
776268556528,05/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,09/05/2016,ISTANBUL,ISTANBUL,TR,41.01384,28.94966
776301382923,10/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,11/05/2016,TABY,TABY,SE,59.4439,18.06872
783025589177,09/05/2016,POMONA,POMONA,US,39.47845,-74.57516,11/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
655674663116,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/05/2016,ELERMORE VALE,ELERMORE VALE,AU,-32.91621,151.67665
655674662863,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,06/05/2016,CYPRUS,NICOSIA,CY,35.17531,33.3642
783009116370,06/05/2016,POMONA,POMONA,US,39.47845,-74.57516,09/05/2016,LOUGHTON,LOUGHTON,GB,52.03037,-0.78642
776301402583,10/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,11/05/2016,WARSAW,WARSAW,PL,52.22977,21.01178
655674662896,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,LIMERICK,LIMERICK,IE,40.23093,-75.52212
783009285291,06/05/2016,POMONA,POMONA,US,39.47845,-74.57516,09/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
655674663322,06/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,CORK CITY,DUBLIN,IE,53.33306,-6.24889
655674662760,03/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,06/05/2016,BARCELONA,BARCELONA,ES,41.38879,2.15899
655674662750,03/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,ASKIM,ASKIM,SE,59.58326,11.16286
655674662749,03/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/05/2016,CAPE TOWN,CAPE TOWN,ZA,-33.92584,18.42322
655674662690,03/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,07/05/2016,SINGAPORE,SINGAPORE,SG,1.28967,103.85007
655674662885,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,GDYNIA,GDYNIA,PL,54.51889,18.53188
655674662793,03/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/05/2016,KUALA LUMPUR,KUALA LUMPUR,MY,3.1412,101.68653
655674662771,03/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,06/05/2016,DUBLIN 1,DUBLIN,IE,53.33306,-6.24889
655674662808,03/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,GOTHENBURG,GOTHENBURG,SE,40.92945,-100.16068
655674662820,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,TEOLO PADOVA,ROME,IT,41.89193,12.51133
655674663300,05/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,DUBLIN 2,DUBLIN,IE,53.33306,-6.24889
655674663274,05/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/05/2016,RIVERS STATE,ABUJA,NG,9.05785,7.49508
655674663079,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,12/05/2016,PAPAMOA,WELLINGTON,NZ,-41.28664,174.77557
655674663193,05/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,CADIZ,CADIZ,ES,36.52978,-6.29465
655674663090,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,MOMBASA,MOMBASA,KE,-4.05466,39.66359
655674663149,04/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,12/05/2016,QUEENSLAND,CANBERRA,AU,-35.28346,149.12807
655674663344,06/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/05/2016,RB LIJNDEN,AMSTERDAM,NL,52.37403,4.88969
776257858201,04/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,06/05/2016,HAMBURG,HAMBURG,DE,53.57532,10.01534
776301291010,10/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,11/05/2016,ROMA,ROMA,IT,-26.56741,148.78751
655674663620,10/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,13/05/2016,LIKONI,NAIROBI,KE,-1.28333,36.81667
776269239659,05/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,10/05/2016,SHANGHAI,SHANGHAI,CN,31.22222,121.45806
776290457280,09/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,12/05/2016,HANOI,HANOI,VN,21.0245,105.84117
776290423992,09/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,12/05/2016,SHANGHAI,SHANGHAI,CN,31.22222,121.45806
776279211083,06/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,09/05/2016,EL AEROPORT DEL PRAT,MADRID,ES,40.4165,-3.70256
776312025190,11/05/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,12/05/2016,HOSPITALET DE LLOBREGAT,MADRID,ES,40.4165,-3.70256
655674662484,28/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/05/2016,MILLTOWN,MILLTOWN,IE,53.31301,-6.2453
655674662598,29/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,06/05/2016,VABAEK,COPENHAGEN,DK,55.67594,12.56553
655674654096,05/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,14/02/2016,HONGKOU DISTRICT SHANGHAI,BEIJING,CN,39.9075,116.39723
655674670839,15/07/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,19/07/2016,KZN,PRETORIA,ZA,-25.74486,28.18783
775600379690,08/02/2016,IRVINE,IRVINE,US,0,0,10/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
655674653490,01/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/02/2016,PINELLAS PARK,PINELLAS PARK,US,27.8428,-82.69954
655674653685,02/02/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/02/2016,PETACH - TIKVA,#N/A,IL,#N/A,#N/A
